,id,comment_txt,sentiment_txt,parent_class_txt,child_class_txt
0,24c5c1ca5-06c9-483a-9244-2412bf261d37,Крупный хороший лук. ,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
1,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe22afaa64-a45d-4f73-aac8-9005ff34af1d,Заказ доставили быстро,SENTIMENT_POSITIVE,Удобство и скорость кассы,Время ожидания в очереди к кассе
2,2bf492ee6-606f-428b-905c-547f27ae3377,присутствует не приятный запах. ,SENTIMENT_NEGATIVE,Чистота и порядок,Запах в магазине
3,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fef8e57a66-cadb-4237-b800-1df3482e2de1,"Очень хороший магазин, рядом с домой, вежливые продавцы, есть все необходимые товары",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
4,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fef8e57a66-cadb-4237-b800-1df3482e2de1,"Очень хороший магазин, рядом с домой, вежливые продавцы, есть все необходимые товары",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Наличие товара на полке
5,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fef8e57a66-cadb-4237-b800-1df3482e2de1,"Очень хороший магазин, рядом с домой, вежливые продавцы, есть все необходимые товары",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
6,148fc5fc-c83c-4505-b050-1b039e565985d891d064-98d7-4180-98d0-409fd319357a,"Немного грязновато, возможно погодные условия, плитка на полу сколота, а так компактный удобный магазин",SENTIMENT_NEGATIVE,Чистота и порядок,Чистота и порядок в торговом зале
7,148fc5fc-c83c-4505-b050-1b039e565985d891d064-98d7-4180-98d0-409fd319357a,"Немного грязновато, возможно погодные условия, плитка на полу сколота, а так компактный удобный магазин",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
8,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fecc134e89-c568-4290-bf74-7599ca76bc30,"Мне все нравится, товары, продавцы, скидки",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
9,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fecc134e89-c568-4290-bf74-7599ca76bc30,"Мне все нравится, товары, продавцы, скидки",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
10,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fecc134e89-c568-4290-bf74-7599ca76bc30,"Мне все нравится, товары, продавцы, скидки",SENTIMENT_POSITIVE,Скидки и акции,Цена после скидки
11,4026f997-868c-4633-9c00-e05573a65ac9a4cdbef2-9638-41cd-91a1-93dd242f4898,"Удобно,быстро",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
12,ed66954e-16c8-4d0b-bc1a-b620d46024d1b14ea004-e506-46b6-9835-bd730c8c1c0c,"Лучший магнит на районе , самый отзывчивый и любезный персонал , Даже после того , как переехала от туда продолжаю пользоваться этим магнитом 👍",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
13,ed66954e-16c8-4d0b-bc1a-b620d46024d1b14ea004-e506-46b6-9835-bd730c8c1c0c,"Лучший магнит на районе , самый отзывчивый и любезный персонал , Даже после того , как переехала от туда продолжаю пользоваться этим магнитом 👍",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
14,148fc5fc-c83c-4505-b050-1b039e5659854a889974-6df0-48f5-9bb4-9af4e8ebf59a,"Как и все пенсионеры чтобы были приемлемые цены а не как в ""перекрёстке"".всего доброго. Раньше у нас не было вашей фирмы",SENTIMENT_POSITIVE,Уровень цен,Выгодность цен
15,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fea2b8a837-bf49-40ff-8071-b25438aa77e9,"Хороший ассортимент, удобно для меня расположен. Покупал фрукты - спелые и вкусные.",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
16,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fea2b8a837-bf49-40ff-8071-b25438aa77e9,"Хороший ассортимент, удобно для меня расположен. Покупал фрукты - спелые и вкусные.",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
17,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fea2b8a837-bf49-40ff-8071-b25438aa77e9,"Хороший ассортимент, удобно для меня расположен. Покупал фрукты - спелые и вкусные.",SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
19,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fee4b77fa7-4c46-4954-8fb9-c16c65c83021,"В магазине творится порядка, некоторые продукты в плесени",SENTIMENT_NEGATIVE,Чистота и порядок,Чистота и порядок в торговом зале
20,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fee4b77fa7-4c46-4954-8fb9-c16c65c83021,"В магазине творится порядка, некоторые продукты в плесени",SENTIMENT_NEGATIVE,Свежесть и качество,Свежесть продуктов
22,ed66954e-16c8-4d0b-bc1a-b620d46024d1816c2315-2a57-44b4-a29e-96319b8338c6,"В этом магазине работают самые отзывчивые,компетентные и красивыепродавца-консультанта. Большой ассортимент, чисто, доброжелательный персонал. Все супер",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
24,29ea12414-31fd-4710-aa30-4d966f56e6c3,"Очень нравится такое ассорти и поэтому всегда беру, когда скидка!) ",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
25,29ea12414-31fd-4710-aa30-4d966f56e6c3,"Очень нравится такое ассорти и поэтому всегда беру, когда скидка!) ",SENTIMENT_POSITIVE,Скидки и акции,Цена после скидки
26,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe2a48bbbe-c373-44a1-a4ad-2f1263e2b450,"Отличный магазин у дома ,директор супер",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
27,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe047c4945-3a5f-4214-97ea-8fd8abe837ca,Обновление Интерьере магазина и добавление новинок,SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Наличие интересных новинок
28,20565728-6fde-458e-962e-70600a9e452b38564d5e-bb65-45a8-805b-525b78032c17,Система бонусов худшая,SENTIMENT_NEGATIVE,Условия по карте лояльности,Условия акций со сборов фишек / наклеек / подарков
29,200232085-d72a-4f96-964d-d3db320d335d,"Тверское молоко ""Искренне Ваш"" знаю давно, ещё из магазина ""Ближние Горки"", качество хорошее. В последнее время беру только его.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
30,2dc1c16e5-156d-4599-95b7-5ee971a67502,"очень вкусный,в следующий раз снова куплю.
рекомендую.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
31,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe50ed7831-2b85-4f0a-a28e-abb511afba90,"Удобно у дома, продавцы вежливые отзывчивые, всегда помогут и посоветуют. И вообще мне нравится Магнит..",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
32,309d07a2-70d9-47b2-8ed8-c317fa073bd702219931-3812-4c37-9a8a-42f61352f50a,Классно обслужили,SENTIMENT_POSITIVE,Удобство и скорость кассы,Время обслуживания/ сканирования на кассе
33,2142cbe74-f172-419a-9668-09fc0ea16a5b,"Плоды ровные, без видимых повреждений, не сухие. Зерна яркие, сочные, вкус в меру с кислинкой.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
34,2e2779a60-8f34-499f-867a-065f2cac07d9,"свежая, цена как в ленте, советую к приобретению. берите не пожалеете. вкусная. качественный товар. ",SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
35,2e2779a60-8f34-499f-867a-065f2cac07d9,"свежая, цена как в ленте, советую к приобретению. берите не пожалеете. вкусная. качественный товар. ",SENTIMENT_POSITIVE,Ценники,Корректность ценника
36,2e2779a60-8f34-499f-867a-065f2cac07d9,"свежая, цена как в ленте, советую к приобретению. берите не пожалеете. вкусная. качественный товар. ",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
38,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe20caa51f-1fa6-4cef-b8f0-e6f855a4e9dc,"Отличный магазин, сотрудники",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
39,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe62dd8ead-403e-4098-a460-1920f8845fa4,"Очень хороший магазин, все чисто, аккуратно. Девочки всегда помогут, подскажут.",SENTIMENT_POSITIVE,Чистота и порядок,Чистота и порядок в торговом зале
40,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe62dd8ead-403e-4098-a460-1920f8845fa4,"Очень хороший магазин, все чисто, аккуратно. Девочки всегда помогут, подскажут.",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
41,2ac0ad9be-ccc0-4e46-b208-722c226eb6b9,"Мясо вкусное, уже брали, но вот банка впервые пришла без открывашки-ключа - это, конечно, плохо, вроде не прошлый век. Вряд ли ещё закажу. За это снижаю звезду",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
42,2ac0ad9be-ccc0-4e46-b208-722c226eb6b9,"Мясо вкусное, уже брали, но вот банка впервые пришла без открывашки-ключа - это, конечно, плохо, вроде не прошлый век. Вряд ли ещё закажу. За это снижаю звезду",SENTIMENT_NEGATIVE,Удобство поиска нужного товара,Удобство взять или упаковать товар
43,2f1316b20-3c99-4472-8f51-c6560cc5be95,отличные букеты,SENTIMENT_POSITIVE,Свежесть и качество,Привлекательный внешний вид отдела
44,2f4217fc3-c78d-4863-b7ea-6bcb16922a6f,Хороший сыр,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
